contract,time_completed,side,quantity,avg_price,realized_pnl,epoch_sec,profit,loss,wr,profit_long,loss_long,wr_long,profit_short,loss_short,wr_short,realized_pnl_sum,px_side,px_side_sum,total_profit,avg_pnl_profit,total_loss,avg_pnl_loss,avg_pnl_rr,avg_pnl_ewr,total_px_profit,avg_px_profit,total_px_loss,avg_px_loss,avg_px_rr,avg_px_ewr
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:23:25.000,BOT,1,13857.25,-81.64,1650288205.0,1,3,0.25,0,1,0.0,1,2,0.3333333333333333,-427.34000000000003,-40.82,-123.86333333333334,18.36,18.36,-445.7,-148.56666666666666,0.12358088400269239,0.8900115819321858,0.0,9.18,-133.04333333333332,-44.34777777777777,0.20700022549044172,0.8285002594706798
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:26:24.000,SLD,1,13847.0,,1650288384.0,1,3,0.25,0,1,0.0,1,2,0.3333333333333333,,,,18.36,18.36,-445.7,-148.56666666666666,0.12358088400269239,0.8900115819321858,0.0,9.18,0.0,-44.34777777777777,0.20700022549044172,0.8285002594706798
"497954503,MYM,FUT,20220617,0,,0.5,ECBOT,,USD,MYM  JUN 22,MYM,False,,combo:",2022-04-18 08:30:07.000,SLD,3,34312.0,-45.92,1650288607.0,0,1,0.0,0,1,0.0,0,0,,-45.92,-30.613333333333333,-30.613333333333333,,,-45.92,-45.92,,,0.0,,-30.613333333333333,-30.613333333333333,,
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:34:44.999,BOT,1,13915.0,-137.14,1650288884.999,1,4,0.2,0,1,0.0,1,3,0.25,-564.48,-68.57,-192.43333333333334,18.36,18.36,-582.8399999999999,-145.70999999999998,0.1260037059913527,0.8880965441579812,0.0,9.18,-201.61333333333332,-50.40333333333333,0.1821308114542689,0.8459300699300698
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:34:45.000,BOT,3,13915.0,,1650288885.0,1,4,0.2,0,1,0.0,1,3,0.25,,,,18.36,18.36,-582.8399999999999,-145.70999999999998,0.1260037059913527,0.8880965441579812,0.0,9.18,0.0,-50.40333333333333,0.1821308114542689,0.8459300699300698
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:40:12.000,SLD,3,13880.0,-213.42,1650289212.0,1,5,0.16666666666666666,0,2,0.0,1,3,0.25,-777.9,-35.57,-228.00333333333333,18.36,18.36,-796.2599999999999,-159.25199999999998,0.11528897596262529,0.8966286061752585,0.0,9.18,-237.1833333333333,-47.43666666666666,0.19352118614292743,0.8378569325875773
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:44:35.000,BOT,3,13910.0,,1650289475.0,1,5,0.16666666666666666,0,2,0.0,1,3,0.25,,,,18.36,18.36,-796.2599999999999,-159.25199999999998,0.11528897596262529,0.8966286061752585,0.0,9.18,0.0,-47.43666666666666,0.19352118614292743,0.8378569325875773
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:53:10.000,SLD,3,13843.25,-404.91999999999996,1650289990.0,1,6,0.14285714285714285,0,3,0.0,1,3,0.25,-1182.82,-67.48666666666666,-295.49,18.36,18.36,-1201.1799999999998,-200.19666666666663,0.09170981867829969,0.9159943264142023,0.0,9.18,-304.66999999999996,-50.77833333333333,0.1807857682082253,0.8468936761640028
"542601808,MNQ,FOP,20220429,14400,C,2,GLOBEX,,USD,MQEJ2 C1440,MQE,False,,combo:",2022-04-18 08:55:51.000,BOT,1,79.75,,1650290151.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:56:05.000,SLD,1,13840.0,,1650290165.0,1,6,0.14285714285714285,0,3,0.0,1,3,0.25,,,,18.36,18.36,-1201.1799999999998,-200.19666666666663,0.09170981867829969,0.9159943264142023,0.0,9.18,0.0,-50.77833333333333,0.1807857682082253,0.8468936761640028
