date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,local_min,local_max,price_times_volume,vwap
2022-02-22 17:01:00,13931.5,13939.75,13927.0,13938.25,1645570860,506,2022-02-22 17:01:00,2022-02-23,,12.75,,,13927.0,,7052754.5,13938.25
2022-02-22 17:02:00,13938.75,13945.5,13935.5,13938.0,1645570920,603,2022-02-22 17:02:00,2022-02-23,,10.0,,,,13945.5,8404614.0,13938.114066726781
2022-02-22 17:03:00,13937.0,13939.25,13932.75,13936.5,1645570980,213,2022-02-22 17:03:00,2022-02-23,,6.5,,,,,2968474.5,13937.854009077157
2022-02-22 17:04:00,13936.5,13943.75,13935.75,13939.5,1645571040,241,2022-02-22 17:04:00,2022-02-23,,8.0,,,,,3359419.5,13938.107805502239
2022-02-22 17:05:00,13941.25,13944.25,13937.75,13941.5,1645571100,323,2022-02-22 17:05:00,2022-02-23,,6.5,,,,,4503104.5,13938.688759278897
2022-02-22 17:06:00,13941.5,13941.5,13936.5,13938.5,1645571160,126,2022-02-22 17:06:00,2022-02-23,,5.0,,,,,1756251.0,13938.676938369781
2022-02-22 17:07:00,13938.25,13942.25,13938.0,13940.0,1645571220,115,2022-02-22 17:07:00,2022-02-23,,4.25,,,,,1603100.0,13938.748472026327
2022-02-22 17:08:00,13939.75,13944.0,13938.75,13942.25,1645571280,142,2022-02-22 17:08:00,2022-02-23,,5.25,,,,,1979799.5,13938.967606875276
2022-02-22 17:09:00,13942.25,13943.0,13939.25,13939.5,1645571340,147,2022-02-22 17:09:00,2022-02-23,,3.75,,,,,2049106.5,13939.0
2022-02-22 17:10:00,13939.75,13948.75,13939.75,13948.75,1645571400,439,2022-02-22 17:10:00,2022-02-23,,9.0,7.1,3.025,,,6123501.25,13940.499211908931
2022-02-22 17:11:00,13948.25,13950.0,13938.5,13944.75,1645571460,387,2022-02-22 17:11:00,2022-02-23,,11.5,7.8999999999999995,3.1113636363636363,,13950.0,5396618.25,13941.006631708822
2022-02-22 17:12:00,13944.0,13944.75,13937.25,13938.75,1645571520,254,2022-02-22 17:12:00,2022-02-23,,7.5,7.827272727272727,3.500206611570248,,,3540442.5,13940.842677345538
