date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,amplitude_hl,amplitude_oc,local_min,local_max,price_times_volume,vwap
2022-02-13 17:00:00,14250.25,14259.25,14208.0,14217.75,1644793200,5386,2022-02-13 17:00:00,2022-02-14,,,,,14259.25,76576801.5,14217.75
2022-02-13 17:05:00,14217.75,14228.25,14184.5,14210.75,1644793500,4289,2022-02-13 17:05:00,2022-02-14,,,,14184.5,,60949906.75,14214.64684754522
2022-02-13 17:10:00,14210.25,14218.0,14188.5,14188.75,1644793800,2633,2022-02-13 17:10:00,2022-02-14,,,,,,37358978.75,14209.106841078972
2022-02-13 17:15:00,14189.75,14224.0,14188.25,14214.25,1644794100,4438,2022-02-13 17:15:00,2022-02-14,,,,,,63082841.5,14210.469873402604
2022-02-13 17:20:00,14213.75,14223.75,14195.75,14200.75,1644794400,2553,2022-02-13 17:20:00,2022-02-14,,,,,,36254514.75,14209.184063941137
2022-02-13 17:25:00,14201.0,14212.75,14197.75,14198.5,1644794700,2055,2022-02-13 17:25:00,2022-02-14,,,,,,29177917.5,14208.155884143485
2022-02-13 17:30:00,14199.0,14219.25,14198.25,14213.25,1644795000,2100,2022-02-13 17:30:00,2022-02-14,,,,,,29847825.0,14208.611995821608
2022-02-13 17:35:00,14213.0,14216.25,14202.75,14214.5,1644795300,1225,2022-02-13 17:35:00,2022-02-14,,,,,,17412762.5,14208.904260707484
2022-02-13 17:40:00,14214.5,14218.5,14206.0,14218.5,1644795600,1219,2022-02-13 17:40:00,2022-02-14,,,,,,17332351.5,14209.355925167967
2022-02-13 17:45:00,14219.0,14256.75,14219.0,14254.0,1644795900,5161,2022-02-13 17:45:00,2022-02-14,,28.8,15.575,,,73564894.0,14216.774324672399
2022-02-13 17:50:00,14254.75,14263.0,14247.75,14249.25,1644796200,2802,2022-02-13 17:50:00,2022-02-14,,26.336363636363636,13.743181818181817,,,39926398.5,14219.461688963705
2022-02-13 17:55:00,14249.75,14256.25,14245.25,14246.25,1644796500,1965,2022-02-13 17:55:00,2022-02-14,,23.54793388429752,11.880785123966941,,,27993881.25,14220.930985876179
