date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,ema_120_trend,ema_120_trend_change,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,diff,diff_sma,diff_sma_trend,local_min,local_max,price_times_volume,vwap
2022-03-09 18:35:00,13752.25,13756.5,13749.0,13754.0,1646872500,812,2022-03-09 18:35:00,2022-03-10,,,,7.5,11.898009085415403,4.672318303140347,1.75,4.8,0.09999999999999964,,,11168248.0,13744.576518691589
2022-03-09 18:40:00,13754.5,13758.0,13750.25,13751.5,1646872800,899,2022-03-09 18:40:00,2022-03-10,,,,7.75,11.143825615339875,4.368260429842103,-3.0,5.05,0.25,,13758.0,12362598.5,13744.835741951605
2022-03-09 18:45:00,13751.25,13752.25,13743.25,13746.0,1646873100,977,2022-03-09 18:45:00,2022-03-10,,,,9.0,10.754039139823535,4.528576715325356,-5.25,4.1,-0.9500000000000002,,,13429842.0,13744.881263006244
2022-03-09 18:50:00,13746.0,13746.75,13740.75,13742.0,1646873400,794,2022-03-09 18:50:00,2022-03-10,,,,6.0,9.889668387128346,4.432471857993473,-4.0,4.5,0.40000000000000036,,,10911148.0,13744.792529671864
2022-03-09 18:55:00,13742.25,13745.25,13737.25,13743.75,1646873700,894,2022-03-09 18:55:00,2022-03-10,,,,8.0,9.546092316741374,3.8992951565401146,1.5,3.1,-1.4,,,12286912.5,13744.757591093117
2022-03-09 19:00:00,13742.5,13748.0,13733.0,13736.0,1646874000,977,2022-03-09 19:00:00,2022-03-10,,,,15.0,10.53771189551567,4.37215058262373,-6.5,4.05,0.9499999999999997,,,13420072.0,13744.44817922106
2022-03-09 19:05:00,13736.0,13752.0,13731.0,13748.5,1646874300,1789,2022-03-09 19:05:00,2022-03-10,,,,21.0,12.439946096331003,5.849941385783052,12.5,5.95,1.9000000000000004,,,24596066.5,13744.694382175125
2022-03-09 19:10:00,13748.5,13754.25,13745.0,13751.25,1646874600,944,2022-03-09 19:10:00,2022-03-10,,,,9.25,11.859955896998093,5.286315679277043,2.75,5.45,-0.5,,,12981180.0,13744.898045152373
2022-03-09 19:15:00,13752.0,13754.25,13742.0,13744.5,1646874900,1152,2022-03-09 19:15:00,2022-03-10,,,,12.25,11.930873006634803,5.688803737590308,-7.5,6.15,0.7000000000000002,,,15833664.0,13744.883505612277
2022-03-09 19:20:00,13745.5,13751.5,13739.5,13746.0,1646875200,1184,2022-03-09 19:20:00,2022-03-10,,,,12.0,11.943441550883021,4.745384876210252,0.5,5.95,-0.20000000000000018,,,16275264.0,13744.923904406822
