time,open,high,low,close,EMA,VWAP,Volume,Volume MA,Amplitude
2022-01-30T17:00:00-06:00,14454,14475.75,14403.25,14414,14289.701531588986,14431,3142,4651.8,31.095991723180866
2022-01-30T17:05:00-06:00,14414.25,14446.5,14410.5,14432.5,14294.801476889379,14430.670625856555,1236,4451.9,31.41237935394339
2022-01-30T17:10:00-06:00,14433.75,14437.75,14403.25,14410,14298.915709857616,14427.957524716221,1084,4090.45,31.611580685947043
2022-01-30T17:15:00-06:00,14408.5,14415.75,14377.5,14385.75,14302.016934505558,14419.768260199075,1671,3874.2,32.03986580298272
2022-01-30T17:20:00-06:00,14386.75,14394.25,14372.25,14388.5,14305.105615416074,14415.185248296008,1083,3615.35,31.39213252537093
2022-01-30T17:25:00-06:00,14388.5,14410.25,14381.5,14410.25,14308.860772008356,14413.780636177074,880,3262.4,31.221672362443773
2022-01-30T17:30:00-06:00,14409.25,14413.5,14388.25,14392.75,14311.856815865201,14412.41615665028,871,2675.1,30.83640317776998
2022-01-30T17:35:00-06:00,14393,14393,14370,14372.5,14314.022643870016,14409.242300230388,1029,1663.9,30.330828779204175
2022-01-30T17:40:00-06:00,14372,14390,14371.25,14375,14316.200406588943,14407.363529043638,722,1149.65,29.58367853538455
2022-01-30T17:45:00-06:00,14373.75,14373.75,14353.25,14368,14318.05039206791,14403.194647482753,1279,1062.9,28.997634758908127
2022-01-30T17:50:00-06:00,14368.75,14388.5,14366.5,14385.5,14320.459306636913,14401.692462600691,907,953,28.546174451881797
2022-01-30T17:55:00-06:00,14385.75,14399,14377,14397,14323.192902828452,14401.031578947368,916,931.85,28.12384061627652
2022-01-30T18:00:00-06:00,14397.75,14399.75,14372,14385.5,14325.418156298865,14399.864864443753,1225,957.85,28.099721866839324
2022-01-30T18:05:00-06:00,14386.25,14391.75,14366.75,14373,14327.11750785962,14398.578424167597,964,979.3,27.899739810914205
2022-01-30T18:10:00-06:00,14373,14402.25,14373,14397,14329.613311150348,14398.05690153469,1214,1016.9,27.986853371500384
2022-01-30T18:15:00-06:00,14396.75,14420,14394.75,14407.75,14332.403907180693,14398.69021229031,1310,1054.65,27.810282186242294
2022-01-30T18:20:00-06:00,14408.25,14422,14382.5,14384.25,14334.25555335281,14398.537172104925,1307,1098.3,28.564457529065372
2022-01-30T18:25:00-06:00,14384.75,14413.5,14384,14412.25,14337.041069304496,14398.71998139692,841,1120.55,28.62481510783535
2022-01-30T18:30:00-06:00,14413.75,14415,14399.5,14413.75,14339.780673972193,14399.05499955321,701,1139.75,27.778052842813715
2022-01-30T18:35:00-06:00,14413.75,14430,14406.75,14408,14342.217078473186,14400.077969348657,1543,1196.25,27.48592040134186
2022-01-30T18:40:00-06:00,14407.75,14409.75,14394.25,14403,14344.387897099145,14400.141725221016,696,1073.95,26.712635214158514
2022-01-30T18:45:00-06:00,14404.5,14409.75,14399.5,14400.25,14346.382972202746,14400.196375395495,453,1034.8,25.650529716470867
2022-01-30T18:50:00-06:00,14401.25,14410,14386.25,14397,14348.190723195505,14400.111153880696,905,1025.85,25.527914896053392
2022-01-30T18:55:00-06:00,14396,14403.75,14381,14382.75,14349.424983081379,14399.75020782927,886,986.6,25.34869458017898
2022-01-30T19:00:00-06:00,14383.75,14405.75,14381.5,14392.75,14350.972305114186,14399.533050420772,941,979.5,25.27781105887711
2022-01-30T19:05:00-06:00,14393,14417.25,14387,14409.75,14353.071508502966,14399.704545717896,961,983.55,25.59859744217536
2022-01-30T19:10:00-06:00,14408.75,14412,14389.75,14398.75,14354.702883199288,14399.715906008409,725,976.25,25.382558897518887
