date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,ema_120_trend,ema_120_trend_change,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,diff,diff_sma,diff_sma_trend,local_min,local_max,vwap
2020-12-21,12636.25,12636.25,12636.25,12636.25,1608530400,0,2020-12-21,2020-12-21,,,,0.0,,,0.0,,,,,
2020-12-22,12665.25,12665.25,12665.25,12665.25,1608616800,0,2020-12-22,2020-12-22,,,,0.0,,,0.0,,,,,
2020-12-23,12606.75,12606.75,12606.75,12606.75,1608703200,0,2020-12-23,2020-12-23,,,,0.0,,,0.0,,,12606.75,,
2020-12-24,12660.0,12660.0,12660.0,12660.0,1608789600,0,2020-12-24,2020-12-24,,,,0.0,,,0.0,,,,,
2020-12-28,12789.0,12789.0,12789.0,12789.0,1609135200,0,2020-12-28,2020-12-28,,,,0.0,,,0.0,,,,,
2020-12-29,12830.0,12830.0,12792.5,12792.5,1609221600,1,2020-12-29,2020-12-29,,,,37.5,,,-37.5,,,,,
2020-12-30,12794.25,12794.25,12794.25,12794.25,1609308000,0,2020-12-30,2020-12-30,,,,0.0,,,0.0,,,,,
2020-12-31,12848.0,12848.0,12848.0,12848.0,1609394400,0,2020-12-31,2020-12-31,,,,0.0,,,0.0,,,,,
2021-01-04,12639.25,12639.25,12639.25,12639.25,1609740000,0,2021-01-04,2021-01-04,,,,0.0,,,0.0,,,,,
2021-01-05,12752.0,12752.0,12752.0,12752.0,1609826400,0,2021-01-05,2021-01-05,,,,0.0,3.75,3.75,0.0,,,,,
2021-01-06,12573.0,12573.0,12573.0,12573.0,1609912800,0,2021-01-06,2021-01-06,,,,0.0,3.0681818181818183,3.0681818181818183,0.0,,,12573.0,,
2021-01-07,12888.75,12888.75,12888.75,12888.75,1609999200,0,2021-01-07,2021-01-07,,,,0.0,2.510330578512397,2.510330578512397,0.0,,,,,
2021-01-08,13058.75,13058.75,13058.75,13058.75,1610085600,0,2021-01-08,2021-01-08,,,,0.0,2.0539068369646882,2.0539068369646882,0.0,,,,,
2021-01-11,12855.25,12855.25,12855.25,12855.25,1610344800,0,2021-01-11,2021-01-11,,,,0.0,1.6804692302438358,1.6804692302438358,0.0,,,,,
2021-01-12,12854.75,12854.75,12854.75,12854.75,1610431200,0,2021-01-12,2021-01-12,,,,0.0,1.374929370199502,1.374929370199502,0.0,,,,,
2021-01-13,12927.0,12927.0,12927.0,12927.0,1610517600,0,2021-01-13,2021-01-13,,,,0.0,1.1249422119814108,1.1249422119814108,0.0,,,,,
2021-01-14,12854.75,12854.75,12854.75,12854.75,1610604000,0,2021-01-14,2021-01-14,,,,0.0,0.920407264348427,0.920407264348427,0.0,,,,,
2021-01-15,12758.75,12758.75,12758.75,12758.75,1610690400,0,2021-01-15,2021-01-15,,,,0.0,0.7530604890123493,0.7530604890123493,0.0,,,,,
2021-01-19,12945.0,12945.0,12945.0,12945.0,1611036000,0,2021-01-19,2021-01-19,,,,0.0,0.6161404001010131,0.6161404001010131,0.0,,,,,
2021-01-20,13253.5,13253.5,13253.5,13253.5,1611122400,0,2021-01-20,2021-01-20,,,,0.0,0.5041148728099198,0.5041148728099198,0.0,1.875,,,,
2021-01-21,13357.5,13357.5,13357.5,13357.5,1611208800,0,2021-01-21,2021-01-21,,,,0.0,0.41245762320811624,0.41245762320811624,0.0,1.875,0.0,,,
2021-01-22,13325.75,13325.75,13325.75,13325.75,1611295200,0,2021-01-22,2021-01-22,,,,0.0,0.3374653280793678,0.3374653280793678,0.0,1.875,0.0,,,
2021-01-25,13433.5,13433.5,13433.5,13433.5,1611554400,0,2021-01-25,2021-01-25,,,,0.0,0.2761079957013009,0.2761079957013009,0.0,1.875,0.0,,,
