date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,local_min,local_max,price_times_volume,vwap
2022-02-22 17:00:00,4310.5,4315.75,4310.25,4314.75,1645570800,796,2022-02-22 17:00:00,2022-02-23,,5.5,,,4310.25,,3434541.0,4314.75
2022-02-22 17:01:00,4314.5,4316.25,4313.5,4316.0,1645570860,392,2022-02-22 17:01:00,2022-02-23,,2.75,,,,,1691872.0,4315.162457912458
2022-02-22 17:02:00,4315.75,4318.0,4315.5,4316.0,1645570920,427,2022-02-22 17:02:00,2022-02-23,,2.5,,,,4318.0,1842932.0,4315.383900928792
2022-02-22 17:03:00,4316.25,4316.75,4315.25,4316.0,1645570980,185,2022-02-22 17:03:00,2022-02-23,,1.5,,,,,798460.0,4315.447222222222
2022-02-22 17:04:00,4316.5,4318.0,4316.0,4316.75,1645571040,220,2022-02-22 17:04:00,2022-02-23,,2.0,,,,,949685.0,4315.589108910891
2022-02-22 17:05:00,4317.0,4318.0,4316.25,4317.75,1645571100,206,2022-02-22 17:05:00,2022-02-23,,1.75,,,,,889456.5,4315.789083557952
2022-02-22 17:06:00,4317.5,4317.75,4316.5,4316.5,1645571160,104,2022-02-22 17:06:00,2022-02-23,,1.25,,,,,448916.0,4315.820815450644
2022-02-22 17:07:00,4316.75,4318.0,4316.25,4317.25,1645571220,123,2022-02-22 17:07:00,2022-02-23,,1.75,,,,,531021.75,4315.892478597636
2022-02-22 17:08:00,4317.5,4318.0,4317.0,4317.5,1645571280,118,2022-02-22 17:08:00,2022-02-23,,1.0,,,,,509465.0,4315.966258265266
2022-02-22 17:09:00,4317.75,4317.75,4317.0,4317.5,1645571340,90,2022-02-22 17:09:00,2022-02-23,,0.75,2.075,0.9,,,388575.0,4316.018132281098
2022-02-22 17:10:00,4317.5,4319.5,4317.5,4319.5,1645571400,195,2022-02-22 17:10:00,2022-02-23,,2.0,2.0613636363636365,1.1,,4319.5,842302.5,4316.255864845938
