date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,amplitude_hl,amplitude_oc,local_min,local_max,price_times_volume,vwap
2022-02-13 17:00:00,34641.0,34690.0,34607.0,34614.0,1644793200,797,2022-02-13 17:00:00,2022-02-14,,,,,34690.0,27587358.0,34614.0
2022-02-13 17:05:00,34615.0,34625.0,34585.0,34617.0,1644793500,556,2022-02-13 17:05:00,2022-02-14,,,,34585.0,,19247052.0,34615.232815964526
2022-02-13 17:10:00,34617.0,34629.0,34588.0,34590.0,1644793800,463,2022-02-13 17:10:00,2022-02-14,,,,,,16015170.0,34608.799559471365
2022-02-13 17:15:00,34593.0,34649.0,34593.0,34635.0,1644794100,701,2022-02-13 17:15:00,2022-02-14,,,,,,24279135.0,34616.09654350417
2022-02-13 17:20:00,34631.0,34651.0,34612.0,34615.0,1644794400,378,2022-02-13 17:20:00,2022-02-14,,,,,,13084470.0,34615.95336787565
2022-02-13 17:25:00,34617.0,34643.0,34617.0,34626.0,1644794700,364,2022-02-13 17:25:00,2022-02-14,,,,,,12603864.0,34617.075483277076
2022-02-13 17:30:00,34625.0,34650.0,34623.0,34645.0,1644795000,359,2022-02-13 17:30:00,2022-02-14,,,,,,12437555.0,34619.846323935875
2022-02-13 17:35:00,34645.0,34657.0,34638.0,34656.0,1644795300,215,2022-02-13 17:35:00,2022-02-14,,,,,,7451040.0,34621.87424993478
2022-02-13 17:40:00,34655.0,34670.0,34646.0,34670.0,1644795600,251,2022-02-13 17:40:00,2022-02-14,,,,,,8702170.0,34624.83202742409
2022-02-13 17:45:00,34672.0,34713.0,34669.0,34706.0,1644795900,701,2022-02-13 17:45:00,2022-02-14,,39.9,20.3,,,24328906.0,34636.72309299895
2022-02-13 17:50:00,34702.0,34731.0,34698.0,34715.0,1644796200,389,2022-02-13 17:50:00,2022-02-14,,38.64545454545454,18.972727272727273,,,13504135.0,34642.60823347507
2022-02-13 17:55:00,34719.0,34732.0,34706.0,34707.0,1644796500,292,2022-02-13 17:55:00,2022-02-14,,36.34628099173553,17.70495867768595,,,10134444.0,34646.04811562385
2022-02-13 18:00:00,34711.0,34736.0,34710.0,34733.0,1644796800,317,2022-02-13 18:00:00,2022-02-14,,34.46513899323816,18.485875281743052,,,11010361.0,34650.81445616462
2022-02-13 18:05:00,34732.0,34747.0,34703.0,34730.0,1644797100,445,2022-02-13 18:05:00,2022-02-14,,36.19875008537668,15.488443412335224,,34747.0,15454850.0,34656.47238278741
2022-02-13 18:10:00,34728.0,34742.0,34719.0,34730.0,1644797400,195,2022-02-13 18:10:00,2022-02-14,,33.79897734258092,13.035999155547001,,,6772350.0,34658.70465514557
2022-02-13 18:15:00,34730.0,34738.0,34716.0,34730.0,1644797700,254,2022-02-13 18:15:00,2022-02-14,,31.653708734838933,10.665817490902093,,,8821420.0,34661.41680395387
2022-02-13 18:20:00,34730.0,34730.0,34702.0,34708.0,1644798000,244,2022-02-13 18:20:00,2022-02-14,,30.989398055777308,12.726577947101713,,,8468752.0,34663.05909550643
2022-02-13 18:25:00,34710.0,34712.0,34690.0,34694.0,1644798300,197,2022-02-13 18:25:00,2022-02-14,,29.35496204563598,13.32174559308322,,,6834718.0,34663.91542568137
2022-02-13 18:30:00,34692.0,34692.0,34637.0,34642.0,1644798600,472,2022-02-13 18:30:00,2022-02-14,,34.01769621915671,19.990519121613545,,,16351024.0,34662.55256916996
2022-02-13 18:35:00,34641.0,34668.0,34634.0,34668.0,1644798900,275,2022-02-13 18:35:00,2022-02-14,,34.01447872476458,21.26497019041108,34634.0,,9533700.0,34662.7430387794
2022-02-13 18:40:00,34669.0,34707.0,34669.0,34698.0,1644799200,428,2022-02-13 18:40:00,2022-02-14,,34.73911895662557,22.671339246699976,,,14850744.0,34664.56264319306
